title,price,direction,seller,expenses,warranty,,
CASA 7 PLAZAS con GALERIA Y PILETA - ALQUILER TEMPORARIO - Quintas de Italia  3, $ 10.000 ,Avenida O´higgins 7500  Bº Otro,Bertero,,,,
Casa Alquiler SOBRE AV FANGIO A METROS DONATO ALVAREZ, $ 30.000 ,"juan manuel fangio, esq Valerio beta  Bº Arguello Norte",LISANDRO GARCÍA INMOBILIARIA,,,,
CASA AMPLIA-GRAN LIVING-PATIO-COCHERA CUBIERTA-TERRAZAS, $ 30.000 ,QUEVEDO  969  Bº Alta Córdoba,,,,,
Casa en alquiler en Nva Cba, Consultar ,Bº Nueva Córdoba,,,,,
"Casa en Barrio Alto Gral. Paz,  a tres cuadras de Av. Patria", $ 22.000 ,Ucrania 481  Bº Alto General Paz,,,,,
Casa grande 250m2 Con 3 dorm. Gge cubierto patio grande , $ 25.000 ,Gabriela mistral 4900  Bº Villa Adela,,,indispensable buenas garantías,,
CASA UBICADA EN LA CALLE ECHEVERRIA 2819 BARRIO ROSEDAL, $ 19.400 ,ECHEVERRIA  2800  Bº Rosedal,ESTUDIO JURIDICO INMOBILIARIO,no abona expensas,,,
CASONA - A RECICLAR - Esquina Caseros y Mariano Moreno $10000, $ 10.000 ,MENDOZA 2651 - DPTO. I 3 - BARRIO ALTA CORDOBA 200,JAVIER ELOY ORTUBE,,garantías propietarias (2).-,,
CENTRO - SE ALQUILA PARA DEPOSITO -, $ 12.000 ,libertad 337 centro cordoba,ML-INMOBILIARIA,,,,
CENTRO (PASO DE LOS ANDES 100) - ALQUILER DEPTO. 3 DORMITORIOS, $ 24.000 ,PASO DE LOS ANDES 72  Bº Centro,KOPAC RIZZETTI ABRATE Servicios Inmobiliarios,alquiler: $24000.-   expensas ($5000 aprox.),,,
Centro a mts del P. Olmos - 4 Dor. 2 baños. coc / sep, $ 24.000 ,Bv. San Juan  479  Bº Nueva Córdoba,Ignacio Muñoz Servicios Inmobiliarios,,garantias 1 propiedad y 2 sueldos. o 3/4 sueldos.,,
CENTRO AMERICA - MENENDEZ 2830 - CASA 3 DORMITORIOS EN ALQUILER, $ 25.000 ,MENENDEZ 2830  Bº Centro America,Corporación inmobiliaria,,,,
centro calle rioja 259 planta baja 3 dor, $ 19.000 ,rioja 259  Bº Centro,Inmobiliaria Horacio Tomatis,,,,
"Centro,  uso comercial.", $ 28.000 ,Obispo Salguero 130  Bº Centro,TERRA  Inmobiliaria,,,,
"CENTRO: 25 DE MAYO AL 200,  3 DOR AMPLIO 120 M2", $ 19.000 ,25 de mayo 193  Bº Centro,Tomatis Inmobiliaria, Expensas $6200 ,,,
Chachapoyas - Bº Yofre Norte, $ 25.000 ,Chachapoyas 2529  Bº Yofre Norte,Motta Propiedades,,,,
Cofico hermoso depto de 3 dorm, $ 25.000 ,rivadavia 1366  Bº Cofico,Salsadella Negocios Inmobiliarios,"impuesto dgr incluido en el precio, expensas aprox $4500 mensuales.",,,
"Cofico: Bv. Las Heras  156 ,  3 dorm,  cocina separada", $ 18.000 ,Bv Las Heras 156  Bº Cofico,Tomatis Inmobiliaria,expensas $3.800 aprox.,,,
"COLON A DORM C / PLACAR,  COCINA SEP,  BALCON,  EXCELENTE ESTADO", $ 17.000 ,Mendoza  237,, Expensas $2900 ,,,
COLON Y CAÑADA 3 DOR*AMPLIO COCHERA / DEP.SVCIO, $ 23.500 ,Av. Colon 675  Bº Centro,ATENEA Soluciones Inmobiliarias, Expensas $13500 aprox. ,,,
Complejo cerrado /  seguridad /  3 dorm /  cochera /  balcón /  asador, $ 20.000 ,Los Pinos 4000  Bº Matienzo,B + C ASESORAMIENTOS INMOBILIARIOS, Expensas $3500 ,,,
